Destination,Category,Year,Month,Month_Name,Season,Domestic_Tourists,Foreign_Tourists,Hotel_Occupancy,Festival_Event,Tourist_Footfall
Darjeeling,Hill Station,2020,9,September,Monsoon,14543,1500,70.8,0,16043
Darjeeling,Hill Station,2020,10,October,Autumn,17979,1833,86.0,1,19812
Darjeeling,Hill Station,2020,11,November,Autumn,21154,2130,93.6,1,23284
Darjeeling,Hill Station,2020,12,December,Winter,26493,2636,96.0,1,29129
Darjeeling,Hill Station,2021,1,January,Winter,10427,1025,64.6,0,11452
Darjeeling,Hill Station,2021,2,February,Winter,11228,1090,67.4,0,12318
Darjeeling,Hill Station,2021,3,March,Summer,13938,1336,73.8,0,15274
Darjeeling,Hill Station,2021,4,April,Summer,14483,1529,76.6,0,16012
Darjeeling,Hill Station,2021,5,May,Summer,15130,1579,79.4,0,16709
Darjeeling,Hill Station,2021,6,June,Monsoon,16193,1670,73.1,0,17863
Darjeeling,Hill Station,2021,7,July,Monsoon,14046,1432,66.9,0,15478
Darjeeling,Hill Station,2021,8,August,Monsoon,14625,1473,69.4,0,16098
Darjeeling,Hill Station,2021,9,September,Monsoon,15662,1558,72.8,0,17220
Darjeeling,Hill Station,2021,10,October,Autumn,19371,1904,88.0,1,21275
Darjeeling,Hill Station,2021,11,November,Autumn,22800,2214,95.6,1,25014
Darjeeling,Hill Station,2021,12,December,Winter,25065,2403,96.0,1,27468
Darjeeling,Hill Station,2022,1,January,Winter,11080,1170,66.6,0,12250
Darjeeling,Hill Station,2022,2,February,Winter,11936,1246,69.4,0,13182
Darjeeling,Hill Station,2022,3,March,Summer,14822,1529,75.8,0,16351
Darjeeling,Hill Station,2022,4,April,Summer,15563,1586,68.6,0,17149
Darjeeling,Hill Station,2022,5,May,Summer,16264,1638,71.4,0,17902
Darjeeling,Hill Station,2022,6,June,Monsoon,17414,1733,75.1,0,19147
Darjeeling,Hill Station,2022,7,July,Monsoon,13241,1302,68.9,0,14543
Darjeeling,Hill Station,2022,8,August,Monsoon,15699,1524,71.4,0,17223
Darjeeling,Hill Station,2022,9,September,Monsoon,16818,1613,74.8,0,18431
Darjeeling,Hill Station,2022,10,October,Autumn,20605,2175,90.0,1,22780
Darjeeling,Hill Station,2022,11,November,Autumn,24263,2532,96.0,1,26795
Darjeeling,Hill Station,2022,12,December,Winter,26684,2752,96.0,1,29436
Darjeeling,Hill Station,2023,1,January,Winter,10434,1063,68.6,0,11497
Darjeeling,Hill Station,2023,2,February,Winter,12783,1287,61.4,0,14070
Darjeeling,Hill Station,2023,3,March,Summer,15879,1580,67.8,0,17459
Darjeeling,Hill Station,2023,4,April,Summer,16679,1639,70.6,0,18318
Darjeeling,Hill Station,2023,5,May,Summer,17437,1693,73.4,0,19130
Darjeeling,Hill Station,2023,6,June,Monsoon,18678,1791,77.1,0,20469
Darjeeling,Hill Station,2023,7,July,Monsoon,14069,1485,70.9,0,15554
Darjeeling,Hill Station,2023,8,August,Monsoon,14621,1526,73.4,0,16147
Darjeeling,Hill Station,2023,9,September,Monsoon,17836,1840,76.8,0,19676
Darjeeling,Hill Station,2023,10,October,Autumn,22078,2250,92.0,1,24328
Darjeeling,Hill Station,2023,11,November,Autumn,26007,2619,96.0,1,28626
Darjeeling,Hill Station,2023,12,December,Winter,28614,2847,95.4,1,31461
Darjeeling,Hill Station,2024,1,January,Winter,11171,1098,60.6,0,12269
Darjeeling,Hill Station,2024,2,February,Winter,12012,1166,63.4,0,13178
Darjeeling,Hill Station,2024,3,March,Summer,16970,1627,69.8,0,18597
Darjeeling,Hill Station,2024,4,April,Summer,17655,1864,72.6,0,19519
Darjeeling,Hill Station,2024,5,May,Summer,18465,1927,75.4,0,20392
Darjeeling,Hill Station,2024,6,June,Monsoon,19787,2041,79.1,0,21828
Darjeeling,Hill Station,2024,7,July,Monsoon,15058,1535,72.9,0,16593
Darjeeling,Hill Station,2024,8,August,Monsoon,15657,1577,75.4,0,17234
Darjeeling,Hill Station,2024,9,September,Monsoon,16743,1666,78.8,0,18409
Darjeeling,Hill Station,2024,10,October,Autumn,23598,2320,84.0,1,25918
Darjeeling,Hill Station,2024,11,November,Autumn,27809,2700,91.6,1,30509
Darjeeling,Hill Station,2024,12,December,Winter,30608,2935,96.0,1,33543
